,path,file_name,file_size_Mb,last_access,last_modified,created_on
Cover.docx,E:\mk_lab_data\SHRUTI\SB- Dissertation Report,Cover.docx,43.588,16 May 2019,21 Sep 2020,21 Sep 2020
Declaration.docx,E:\mk_lab_data\SHRUTI\SB- Dissertation Report,Declaration.docx,16.385,16 May 2019,21 Sep 2020,21 Sep 2020
Final Report-SB.docx,E:\mk_lab_data\SHRUTI\SB- Dissertation Report,Final Report-SB.docx,2160.482,17 Jun 2019,21 Sep 2020,21 Sep 2020
Project outline.docx,E:\mk_lab_data\SHRUTI\SB- Dissertation Report,Project outline.docx,16.105,06 Mar 2019,21 Sep 2020,21 Sep 2020
Report Skeleton.docx,E:\mk_lab_data\SHRUTI\SB- Dissertation Report,Report Skeleton.docx,18.133,26 Apr 2019,21 Sep 2020,21 Sep 2020
WPRs,E:\mk_lab_data\SHRUTI\SB- Dissertation Report,WPRs,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
~$troduction to BC.docx,E:\mk_lab_data\SHRUTI\SB- Dissertation Report,~$troduction to BC.docx,0.162,12 Mar 2019,21 Sep 2020,21 Sep 2020
Dissertation Approval by Amity.PNG,E:\mk_lab_data\SHRUTI\SB- Dissertation Report\WPRs,Dissertation Approval by Amity.PNG,105.429,19 Mar 2019,21 Sep 2020,21 Sep 2020
NTCCGuideline_27a3ec4e-40e1-46ca-88ed-86498294071a (1).pdf,E:\mk_lab_data\SHRUTI\SB- Dissertation Report\WPRs,NTCCGuideline_27a3ec4e-40e1-46ca-88ed-86498294071a (1).pdf,151.165,19 Mar 2019,21 Sep 2020,21 Sep 2020
WPR1.pptx,E:\mk_lab_data\SHRUTI\SB- Dissertation Report\WPRs,WPR1.pptx,40.251,19 Mar 2019,21 Sep 2020,21 Sep 2020
WPR2.pptx,E:\mk_lab_data\SHRUTI\SB- Dissertation Report\WPRs,WPR2.pptx,50.82,19 Mar 2019,21 Sep 2020,21 Sep 2020
WPR3.pptx,E:\mk_lab_data\SHRUTI\SB- Dissertation Report\WPRs,WPR3.pptx,50.219,19 Mar 2019,21 Sep 2020,21 Sep 2020
WPR4.pptx,E:\mk_lab_data\SHRUTI\SB- Dissertation Report\WPRs,WPR4.pptx,45.881,19 Mar 2019,21 Sep 2020,21 Sep 2020
WPR5 10.3.2019-16.3.2019.pptx,E:\mk_lab_data\SHRUTI\SB- Dissertation Report\WPRs,WPR5 10.3.2019-16.3.2019.pptx,233.786,25 Mar 2019,21 Sep 2020,21 Sep 2020
WPR6 17.3.2019-24.3.2019.pptx,E:\mk_lab_data\SHRUTI\SB- Dissertation Report\WPRs,WPR6 17.3.2019-24.3.2019.pptx,583.339,25 Mar 2019,21 Sep 2020,21 Sep 2020
WPR7- 24.03.2019- 31.03.2019.pptx,E:\mk_lab_data\SHRUTI\SB- Dissertation Report\WPRs,WPR7- 24.03.2019- 31.03.2019.pptx,51.253,07 Apr 2019,21 Sep 2020,21 Sep 2020
WPR8- 01.04.2019- 06.04.2019.pptx,E:\mk_lab_data\SHRUTI\SB- Dissertation Report\WPRs,WPR8- 01.04.2019- 06.04.2019.pptx,503.037,07 Apr 2019,21 Sep 2020,21 Sep 2020
