,path,file_name,file_size_Mb,last_access,last_modified,created_on
desktop.ini,D:\Pictures\Screenshots,desktop.ini,0.19,06 Oct 2019,08 Jul 2020,08 Jul 2020
Screenshot (1).png,D:\Pictures\Screenshots,Screenshot (1).png,572.404,06 Oct 2019,08 Jul 2020,08 Jul 2020
Screenshot (2).png,D:\Pictures\Screenshots,Screenshot (2).png,534.395,06 Oct 2019,08 Jul 2020,08 Jul 2020
Screenshot (3).png,D:\Pictures\Screenshots,Screenshot (3).png,284.401,17 Oct 2019,08 Jul 2020,08 Jul 2020
Screenshot (4).png,D:\Pictures\Screenshots,Screenshot (4).png,1428.728,07 Dec 2019,08 Jul 2020,08 Jul 2020
Screenshot (5).png,D:\Pictures\Screenshots,Screenshot (5).png,741.521,07 Dec 2019,08 Jul 2020,08 Jul 2020
Screenshot (6).png,D:\Pictures\Screenshots,Screenshot (6).png,366.054,27 Jan 2020,08 Jul 2020,08 Jul 2020
Screenshot (7).png,D:\Pictures\Screenshots,Screenshot (7).png,313.313,08 Feb 2020,08 Jul 2020,08 Jul 2020
Screenshot (8).png,D:\Pictures\Screenshots,Screenshot (8).png,542.72,11 Mar 2020,08 Jul 2020,08 Jul 2020
Screenshot (9).png,D:\Pictures\Screenshots,Screenshot (9).png,514.467,17 May 2020,08 Jul 2020,08 Jul 2020
