,path,file_name,file_size_Mb,last_access,last_modified,created_on
"02_03_20, 09_43 Office Lens 1.jpg",D:\Pictures\Saved Pictures,"02_03_20, 09_43 Office Lens 1.jpg",1275.96,02 Mar 2020,08 Jul 2020,08 Jul 2020
"02_03_20, 16_08 Office Lens.jpg",D:\Pictures\Saved Pictures,"02_03_20, 16_08 Office Lens.jpg",1053.536,02 Mar 2020,08 Jul 2020,08 Jul 2020
desktop.ini,D:\Pictures\Saved Pictures,desktop.ini,0.19,23 Aug 2019,08 Jul 2020,08 Jul 2020
