,path,file_name,file_size_Mb,last_access,last_modified,created_on
201907010_MCF10a_HER2_shC or shY_DAPI_EGFP_N3_P8_Day4_analysis.xlsx,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\20190707-20190711-10aHER2shCshY-p8-N3-DAPI-GFP analysis\20190707-20190711-Analysis files-daywise-DAPI N3,201907010_MCF10a_HER2_shC or shY_DAPI_EGFP_N3_P8_Day4_analysis.xlsx,18.231,25 Jul 2019,21 Sep 2020,21 Sep 2020
201907011_MCF10a_HER2_shC or shY_DAPI_EGFP_N3_P8_Day5_analysis.xlsx,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\20190707-20190711-10aHER2shCshY-p8-N3-DAPI-GFP analysis\20190707-20190711-Analysis files-daywise-DAPI N3,201907011_MCF10a_HER2_shC or shY_DAPI_EGFP_N3_P8_Day5_analysis.xlsx,17.413,25 Jul 2019,21 Sep 2020,21 Sep 2020
20190707-20190711-Analysis files-daywise-DAPI N3,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\20190707-20190711-10aHER2shCshY-p8-N3-DAPI-GFP analysis,20190707-20190711-Analysis files-daywise-DAPI N3,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
20190707-20190711_MCF10a_HER2_shC or shY_DAPI_EGFP_N3_P8.pptx,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\20190707-20190711-10aHER2shCshY-p8-N3-DAPI-GFP analysis,20190707-20190711_MCF10a_HER2_shC or shY_DAPI_EGFP_N3_P8.pptx,72.935,25 Jul 2019,21 Sep 2020,21 Sep 2020
20190707_MCF10a_HER2_shC or shY_DAPI_EGFP_N3_P8_Day1_analysis.xlsx,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\20190707-20190711-10aHER2shCshY-p8-N3-DAPI-GFP analysis\20190707-20190711-Analysis files-daywise-DAPI N3,20190707_MCF10a_HER2_shC or shY_DAPI_EGFP_N3_P8_Day1_analysis.xlsx,18.477,25 Jul 2019,21 Sep 2020,21 Sep 2020
20190708_MCF10a_HER2_shC or shY_DAPI_EGFP_N3_P8_Day2_analysis.xlsx,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\20190707-20190711-10aHER2shCshY-p8-N3-DAPI-GFP analysis\20190707-20190711-Analysis files-daywise-DAPI N3,20190708_MCF10a_HER2_shC or shY_DAPI_EGFP_N3_P8_Day2_analysis.xlsx,19.353,25 Jul 2019,21 Sep 2020,21 Sep 2020
20190709_MCF10a_HER2_shC or shY_DAPI_EGFP_N3_P8_Day3_analysis.xlsx,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\20190707-20190711-10aHER2shCshY-p8-N3-DAPI-GFP analysis\20190707-20190711-Analysis files-daywise-DAPI N3,20190709_MCF10a_HER2_shC or shY_DAPI_EGFP_N3_P8_Day3_analysis.xlsx,17.999,25 Jul 2019,21 Sep 2020,21 Sep 2020
20190725-DAPI-N3-all days analysis-SB.xlsx,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\20190707-20190711-10aHER2shCshY-p8-N3-DAPI-GFP analysis,20190725-DAPI-N3-all days analysis-SB.xlsx,16.964,25 Jul 2019,21 Sep 2020,21 Sep 2020
.DS_Store,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\DAPI_EGFP representative images,.DS_Store,8.196,28 May 2019,21 Sep 2020,21 Sep 2020
"20190425-Cell proliferation by nuclei count_N1_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY,"20190425-Cell proliferation by nuclei count_N1_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
