,path,file_name,file_size_Mb,last_access,last_modified,created_on
r02c07f54p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c07f54p01-ch2sk1fk1fl1.tiff,7990.815,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c07f55p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c07f55p01-ch1sk1fk1fl1.tiff,8187.701,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c07f55p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c07f55p01-ch2sk1fk1fl1.tiff,7890.723,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c07f56p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c07f56p01-ch1sk1fk1fl1.tiff,7827.747,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c07f56p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c07f56p01-ch2sk1fk1fl1.tiff,7771.693,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c07f57p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c07f57p01-ch1sk1fk1fl1.tiff,9655.487,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c07f57p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c07f57p01-ch2sk1fk1fl1.tiff,8307.483,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c07f58p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c07f58p01-ch1sk1fk1fl1.tiff,10310.727,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c07f58p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c07f58p01-ch2sk1fk1fl1.tiff,8781.095,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c07f59p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c07f59p01-ch1sk1fk1fl1.tiff,9041.311,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c07f59p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c07f59p01-ch2sk1fk1fl1.tiff,8228.231,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c07f60p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c07f60p01-ch1sk1fk1fl1.tiff,7903.269,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c07f60p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c07f60p01-ch2sk1fk1fl1.tiff,8035.357,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c07f61p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c07f61p01-ch1sk1fk1fl1.tiff,8325.805,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c07f61p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c07f61p01-ch2sk1fk1fl1.tiff,8431.571,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f01p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f01p01-ch1sk1fk1fl1.tiff,8275.8,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f01p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f01p01-ch2sk1fk1fl1.tiff,8175.246,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f02p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f02p01-ch1sk1fk1fl1.tiff,10345.598,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f02p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f02p01-ch2sk1fk1fl1.tiff,8516.2,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f03p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f03p01-ch1sk1fk1fl1.tiff,10359.496,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f03p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f03p01-ch2sk1fk1fl1.tiff,8458.64,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f04p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f04p01-ch1sk1fk1fl1.tiff,9589.906,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f04p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f04p01-ch2sk1fk1fl1.tiff,8250.45,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f05p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f05p01-ch1sk1fk1fl1.tiff,9998.17,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f05p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f05p01-ch2sk1fk1fl1.tiff,8627.252,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f06p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f06p01-ch1sk1fk1fl1.tiff,9302.422,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f06p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f06p01-ch2sk1fk1fl1.tiff,8246.928,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f07p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f07p01-ch1sk1fk1fl1.tiff,9212.352,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f07p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f07p01-ch2sk1fk1fl1.tiff,8406.371,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f08p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f08p01-ch1sk1fk1fl1.tiff,9159.061,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f08p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f08p01-ch2sk1fk1fl1.tiff,8430.219,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f09p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f09p01-ch1sk1fk1fl1.tiff,9313.163,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f09p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f09p01-ch2sk1fk1fl1.tiff,8322.783,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f10p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f10p01-ch1sk1fk1fl1.tiff,9375.352,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f10p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f10p01-ch2sk1fk1fl1.tiff,8296.29,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f11p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f11p01-ch1sk1fk1fl1.tiff,9582.592,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f11p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f11p01-ch2sk1fk1fl1.tiff,8498.456,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f12p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f12p01-ch1sk1fk1fl1.tiff,8889.404,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f12p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f12p01-ch2sk1fk1fl1.tiff,8252.724,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f13p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f13p01-ch1sk1fk1fl1.tiff,8418.306,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f13p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f13p01-ch2sk1fk1fl1.tiff,7868.156,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f14p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f14p01-ch1sk1fk1fl1.tiff,8869.626,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f14p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f14p01-ch2sk1fk1fl1.tiff,8065.662,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f15p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f15p01-ch1sk1fk1fl1.tiff,7108.118,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f15p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f15p01-ch2sk1fk1fl1.tiff,7610.928,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f16p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f16p01-ch1sk1fk1fl1.tiff,8003.536,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f16p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f16p01-ch2sk1fk1fl1.tiff,8010.514,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f17p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f17p01-ch1sk1fk1fl1.tiff,8491.348,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f17p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f17p01-ch2sk1fk1fl1.tiff,8137.726,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f18p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f18p01-ch1sk1fk1fl1.tiff,10047.665,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f18p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f18p01-ch2sk1fk1fl1.tiff,8376.339,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f19p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f19p01-ch1sk1fk1fl1.tiff,9071.658,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f19p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f19p01-ch2sk1fk1fl1.tiff,8393.184,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f20p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f20p01-ch1sk1fk1fl1.tiff,9632.507,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f20p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f20p01-ch2sk1fk1fl1.tiff,8378.787,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f21p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f21p01-ch1sk1fk1fl1.tiff,7603.581,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f21p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f21p01-ch2sk1fk1fl1.tiff,7810.943,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f22p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f22p01-ch1sk1fk1fl1.tiff,7540.119,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f22p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f22p01-ch2sk1fk1fl1.tiff,7686.739,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f23p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f23p01-ch1sk1fk1fl1.tiff,7355.881,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f23p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f23p01-ch2sk1fk1fl1.tiff,7656.365,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f24p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f24p01-ch1sk1fk1fl1.tiff,8248.493,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f24p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f24p01-ch2sk1fk1fl1.tiff,8266.201,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f25p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f25p01-ch1sk1fk1fl1.tiff,7553.883,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f25p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f25p01-ch2sk1fk1fl1.tiff,8046.445,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f26p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f26p01-ch1sk1fk1fl1.tiff,7371.395,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f26p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f26p01-ch2sk1fk1fl1.tiff,7592.513,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f27p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f27p01-ch1sk1fk1fl1.tiff,9008.899,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f27p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f27p01-ch2sk1fk1fl1.tiff,8291.287,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f28p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f28p01-ch1sk1fk1fl1.tiff,9864.447,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f28p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f28p01-ch2sk1fk1fl1.tiff,8353.307,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f29p01-ch1sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f29p01-ch1sk1fk1fl1.tiff,7961.557,29 Jul 2019,22 Sep 2020,21 Sep 2020
r02c08f29p01-ch2sk1fk1fl1.tiff,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67\Ki67-N3-20190722\Operetta-greyscale images-Ki67-N3-p8-HER2shC-shY\20190722-Ki67-N3-HER2shC-shY-p8-Day5\Images,r02c08f29p01-ch2sk1fk1fl1.tiff,8032.425,29 Jul 2019,22 Sep 2020,21 Sep 2020
